id,type,lat,lon,name,access,capacity,fee,city,state
337714633,node,33.4246546,-111.9345025,Parking 337714633,unknown,unknown,unknown,Phoenix,Arizona
367811485,node,33.568346,-111.9981106,Parking 367811485,unknown,unknown,unknown,Phoenix,Arizona
1145845070,node,33.3333518,-112.0973922,Parking 1145845070,unknown,unknown,unknown,Phoenix,Arizona
1300941446,node,33.4479177,-112.074981,Parking 1300941446,unknown,unknown,unknown,Phoenix,Arizona
1924424411,node,33.5070843,-111.952011,Parking 1924424411,unknown,unknown,unknown,Phoenix,Arizona
1924424479,node,33.5063336,-111.950773,Parking 1924424479,unknown,unknown,unknown,Phoenix,Arizona
1925612531,node,33.5078572,-111.9503146,Parking 1925612531,unknown,unknown,unknown,Phoenix,Arizona
2127040800,node,33.4473003,-112.0731345,Parking 2127040800,unknown,unknown,unknown,Phoenix,Arizona
2496909502,node,33.6340638,-111.927254,Parking 2496909502,unknown,unknown,unknown,Phoenix,Arizona
2496909503,node,33.6340911,-111.92588,Parking 2496909503,unknown,unknown,unknown,Phoenix,Arizona
3081147237,node,33.4355331,-112.0093102,Private Rooftop Parking,private,unknown,unknown,Phoenix,Arizona
3204563206,node,33.5324286,-111.9649563,Parking 3204563206,unknown,unknown,unknown,Phoenix,Arizona
3204563226,node,33.5330492,-111.9649961,Parking 3204563226,unknown,unknown,unknown,Phoenix,Arizona
3324462906,node,33.4544581,-111.9883149,Parking 3324462906,unknown,unknown,unknown,Phoenix,Arizona
4265677912,node,33.4520325,-112.0754438,Parking 4265677912,customers,unknown,unknown,Phoenix,Arizona
4876270068,node,33.5102468,-111.9972742,Parking 4876270068,unknown,unknown,unknown,Phoenix,Arizona
4876270083,node,33.5116054,-111.9974452,Parking 4876270083,unknown,unknown,unknown,Phoenix,Arizona
5461970085,node,33.5327033,-112.2658072,T-1,customers,unknown,no,Phoenix,Arizona
5461970086,node,33.5323001,-112.2658068,T-2,customers,unknown,no,Phoenix,Arizona
5461970087,node,33.5353274,-112.2654842,T-16,customers,unknown,no,Phoenix,Arizona
5461970088,node,33.5362547,-112.2655733,T-15,customers,unknown,no,Phoenix,Arizona
5461970089,node,33.5344847,-112.2654742,T-17,customers,unknown,no,Phoenix,Arizona
5461970090,node,33.534113,-112.2654565,T-18,customers,unknown,no,Phoenix,Arizona
5461970091,node,33.5337944,-112.2654565,T-19,customers,unknown,no,Phoenix,Arizona
5461970092,node,33.53334,-112.2653787,T-20,customers,unknown,no,Phoenix,Arizona
5461970093,node,33.5322927,-112.2663696,T-3,customers,unknown,no,Phoenix,Arizona
5461970094,node,33.5322809,-112.2669501,T-4,customers,unknown,no,Phoenix,Arizona
5461970095,node,33.5322662,-112.2675447,T-5,customers,unknown,no,Phoenix,Arizona
5461970096,node,33.5326881,-112.2677924,T-6,customers,unknown,no,Phoenix,Arizona
5461970097,node,33.5342752,-112.2677889,T-7,customers,unknown,no,Phoenix,Arizona
5461970098,node,33.5353609,-112.2679163,T-8,customers,unknown,no,Phoenix,Arizona
5461970099,node,33.5364996,-112.2679163,T-9,customers,unknown,no,Phoenix,Arizona
5461970100,node,33.5365143,-112.2674385,T-10,customers,unknown,no,Phoenix,Arizona
5461970101,node,33.5365202,-112.2669996,T-11,customers,unknown,no,Phoenix,Arizona
5461970102,node,33.5365232,-112.2664086,T-12,customers,unknown,no,Phoenix,Arizona
5461970103,node,33.5366087,-112.2660087,T-13,customers,unknown,no,Phoenix,Arizona
5461970104,node,33.5366795,-112.2655875,T-14,customers,unknown,no,Phoenix,Arizona
5533267026,node,33.3825012,-111.943102,Parking 5533267026,unknown,unknown,unknown,Phoenix,Arizona
6700916753,node,33.419412,-111.9404664,Parking 6700916753,unknown,unknown,unknown,Phoenix,Arizona
7218749143,node,33.4528556,-112.0719296,Parking 7218749143,unknown,unknown,unknown,Phoenix,Arizona
8307436895,node,33.4660572,-112.0228695,Parking 8307436895,unknown,unknown,unknown,Phoenix,Arizona
8307436898,node,33.465968,-112.0218807,Parking 8307436898,unknown,unknown,unknown,Phoenix,Arizona
8636362199,node,33.3025255,-111.9301327,Parking 8636362199,unknown,unknown,unknown,Phoenix,Arizona
8858637553,node,33.5809425,-111.921202,Parking 8858637553,unknown,unknown,unknown,Phoenix,Arizona
9652135893,node,33.7840185,-112.0994496,Parking 9652135893,unknown,unknown,unknown,Phoenix,Arizona
9652771624,node,33.7995418,-112.0521985,Parking 9652771624,unknown,unknown,unknown,Phoenix,Arizona
9652771627,node,33.7998338,-112.0477662,Parking 9652771627,unknown,unknown,unknown,Phoenix,Arizona
9720084271,node,33.5797367,-112.2394033,Parking 9720084271,unknown,unknown,unknown,Phoenix,Arizona
9720084272,node,33.5801449,-112.2403067,Parking 9720084272,unknown,unknown,unknown,Phoenix,Arizona
9720084273,node,33.5807921,-112.2391943,Parking 9720084273,unknown,unknown,unknown,Phoenix,Arizona
